80222	10352	4141	6301	79738	54433	51520	79587	16	79731	54938	5859	8833	4677	3735	51067	833	8565	6897																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
64131	2675	56681	10675	1634	92609	5009	63827	23545	633	64132	9048	8992	1340	63916	1327	537	5979	80004	11169	50617	3561	23533	3635	7305	10312	54209	2261	5571	4609	5159	2668	5170	640	208	5623	2268	3824	2676	5588	1464	2263	51422	58516	3636	3622	2353	9100	1021	5562	5583	10670	8408	3643	1475	7073	6707	7062	3094	2125	64121	10000	1832	23543	1823	6009	6699	9776	5317	4014	10325	1830	1829	56993	2312	23433	10542	5493	5565	60673	8502	7051	11187	1824	1828	64223	1825	3667	58528	3713	9821	1028	5266	5318	8295	9826	388	8660	89941	5881	399	51317	6810	391	23221	6240	2239	54509	6385	55288	9672	56943	2817	9886	2262	9846	29984	6382	3339	389	4436	5880	2674	553115	894	1793	54812	9138	27030	25956	8906	533	64096	10016	5557	896	523	83988	9844	528	7072	11201	81620	1347	27097	9114	396	9913	3560	529	10629	398	9482	1854	3559	10933	514	92815	5582	3169	51606	1875	5590	2475	2956	526	29928	9960	3421	9296	51455	8464	27235	54700	291	4902	10440	112869	2625	525	1874	506	10452	6804	5563	9550	1463	3329	155066	11285	397	5564	535	2395																																																																																																																																																																																																																																																																																						
2554	2555	2566	2558	10243	2559	27020	2567	2557	2562	2560	2561																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
522	6390	9551	6391	521	539	10632	1329	1345	1339	7381	1350	509																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
10389	81027	10856	10401	51728	4306	2288	10787	9898	11144	648	9734	58498	171023	8314	93408	55215	4999	1438	10336	25802	23492	6907	10013	4175	54361	5158	7203	1387	4174	9794	10432	72	661	1439	5148	7456	10174	147179	3071	3568	83439	800	908	29115	1437	26108	8323	23411	3054	2535	1789	8325	23435	10046	2779	81029	5000	10580	55534	607	11176	8932	2494	3567	7764	79885	7976	84148	6421	4690	5145	8841	3720	5980	6356	4438	8324	4149	23626	6880	56647	84790	4172	3693	10095	7473	4851	9687	51384	22823	11335	7476	8554	51230	7472	7454	51517	10152	7482	79595	10810	10627	7480	51176	57680	23269	7475	23595	51742	7481	6741	27297	10398	10635	5293	80233	5422	10621	55290	6932	3280	8819	5001	79685	1876	10006	6347	5252	1786	367	4637	55718	5241	4629	6839	3708	6934	103910	4176	10623	10458	3326	55703	9918	4636	3710	5203	10728	3709	23594	3562	7280	1111	10622	10693	7855	3516	84617	10471	4638	10284	6950	29895	5201	5204	5202	2145	347733	3563	84759	1788	79718	8936	7411																																																																																																																																																																																																																																																																																																									
4051	23203	10245	11160	3718	10252	3716	10469	9512	1431	25	10971	6335	10964	617	9378	4897	1946	1337	5770	23586	6655	3455	1942	64135	6327	2909	6324	10497	1571	55800	10817	10561	9208	10498	9256	685	8499	8541	55601	8500	11274	6326	320	9379	8224	8573	55327	27006	9369	8497	2246	22999	3454	50717	6853	2069	64130	1557	22806	3815	26133	1349	23114	5601	3084	1969	1741	8817	10411	27005	10376	51807	26281	1346	2043	6571	2044	1740	8825	1579	79861	2041	2042	1555	54413	22871	26519	9456	22899	2045	11069	9229	5921	242	22839	9228	9099	50944	50	57502	9868	51025	3440	9454	3452	1678	22941	26520	3441	6329	3451	9455	3448	8717	26517	5578	9530	3445	7132	3306	6334	3446	8529	10253	6328	9542	5742	1573	3449	80273	7297	1558	3443	2810	247	1559	3444	51185	7533	246	240	239	5743	113612																																																																																																																																																																																																																																																																																																																																							
51542	9827	25782	636	2590	55275	2589	10228	7110	738	2803	400	6293	2664	23299	8675	9648	2800	79571	22930																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
344	64422	80335	776	3931	4619	5444	2780	611	9525	8735	5568	29967	7804	8036	5534	5575	5898	5360	51510	5499	337	4018	91782	3250	5500	151987	23399	19	1071	5530	784	6814	4628	5567	5933	11336	4620	4641	5995	26100	5532	5289	5934	22863	9140	9847	79065	55763	57718	4659	55062	5576	1870	4625	5573	9474	382	8678	783	79784	9706	55770	30849	4644	26020	10640	4035	775	4627	10692	23710	9254	23265	27183	345	23596	55937	11345	6010	79058	55054	5947	350																																																																																																																																																																																																																																																																																																																																																																																																				
29883	4850	23019	10605	9125	9337	57472	4848	4849																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
51301	9953	4588	2528	4589	6483	2525	94025	2524	4585	2651	727897	10690	2523	2650	56913	9245	29071																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
